confDC0,confDC1,confVDL0,confVDL1,perDC0 [ps],perDC1 [ps],perVDL0 [ps],perVDL1 [ps],n,cntMean,cntVar
8192,1,0,61671,15565.26695800874,15000.915583226515,431.68841708099166,172.15328198715994,4,19.488311767578125,0.28297495748847723
8192,1,0,61671,15561.57097402289,14989.250263025478,431.46332535400063,172.32176335312235,8,32.24560546875,0.5079152584075928
8192,1,0,61671,15566.745843230403,14994.051432232087,431.7663444142996,172.4114344643975,1,10.191482543945312,0.15481697930954397
8192,1,0,61671,15564.527620766636,15004.350016026374,431.5076430369879,172.56188145533787,2,13.08660888671875,0.16461804136633873
8192,1,0,61671,15565.26695800874,14996.110017848154,432.0059907080743,172.26921902132284,4,19.6943359375,0.3244161605834961
8192,1,0,61671,15557.876744848541,14988.564632696003,431.7367628438657,172.06830641265307,8,32.22344970703125,0.49129947647452354
8192,1,0,61671,15560.093071845766,14985.137421685646,431.54742306871725,172.12750925169604,1,10.273239135742188,0.19857951044104993
8192,1,0,61671,15560.8319878431,14987.879065087132,431.76349985637745,172.05547696983254,2,13.167877197265625,0.18449424859136343
8192,1,0,61671,15566.006365493326,14996.110017848154,431.4911648865637,172.36391256823703,4,19.6976318359375,0.3257182687520981
8192,1,0,61671,15562.310030395138,14984.452167550759,431.65145409685545,172.14848857850887,8,32.13325500488281,0.5020337530877441
8192,1,0,61671,15562.310030395138,14985.137421685646,431.8562517544819,172.29874861513724,1,10.479690551757812,0.2495875263120979
8192,1,0,61671,15563.788353757007,14987.193560190266,431.94334961733045,172.09035583966522,2,13.210205078125,0.20477622747421265
8192,1,0,61671,15568.22500950209,15000.22888532845,431.88926511078625,172.75320142766014,4,19.569610595703125,0.3000249704346061
8192,1,0,61671,15557.13810948108,14988.564632696003,431.87389619632546,172.12542968323206,8,31.924850463867188,0.5303785481955856
8192,1,0,61671,15557.876744848541,14980.341958489531,431.98947447520686,172.1252488535664,1,10.237106323242188,0.1809174322988838
8192,1,0,61671,15561.57097402289,14988.564632696003,431.7708957849368,172.46461022829666,2,13.04534912109375,0.1629520021378994
8192,1,0,61671,15563.788353757007,14991.993411721645,431.69524170875854,172.66927047654778,4,19.633453369140625,0.3213015263900161
8192,1,0,61671,15558.615450358482,14986.508117996798,432.0344699376894,172.54679768456182,8,31.874679565429688,0.5566061900462955
8192,1,0,61671,15554.922624133676,14983.766976084868,431.9325316323881,172.63488417425756,1,10.300003051757812,0.21000122069381177
8192,1,0,61671,15556.399544246107,14976.918506330272,431.99801719660076,172.58987519784262,2,13.169113159179688,0.18592405482195318
8192,1,0,61671,15566.006365493326,14990.62171188069,431.8864189329896,172.6921112780576,4,19.468780517578125,0.28616523649543524
8192,1,0,61671,15552.70776970905,14983.766976084868,431.858528375641,172.36218993820987,8,32.52742004394531,0.5237232388462871
8192,1,0,61671,15559.354226020892,14983.081847279378,431.65145409685545,172.59142057149842,1,10.422088623046875,0.24392981734126806
8192,1,0,61671,15559.354226020892,14985.137421685646,432.0475716442411,172.54725197648958,2,13.236541748046875,0.2143727084621787
8192,1,0,61671,15566.006365493326,14987.193560190266,431.68614225302014,173.3042306901018,4,19.544891357421875,0.29754531290382147
8192,1,0,61671,15558.615450358482,14980.341958489531,432.0020039155455,172.5876935409709,8,32.38557434082031,0.538634063443169
8192,1,0,61671,15559.354226020892,14976.234003656307,432.0156732248636,172.1955297897531,1,10.40545654296875,0.24106153473258018
8192,1,0,61671,15560.8319878431,14976.918506330272,431.7908091597421,172.5388025381654,2,13.228042602539062,0.20194859779439867
8192,1,0,61671,15564.527620766636,14988.564632696003,431.711735450084,172.48004278313562,4,19.636672973632812,0.31731903343461454
8192,1,0,61671,15559.354226020892,14978.972389833609,431.1335016571431,172.69111016014824,8,32.986480712890625,0.5598758226260543
8192,1,0,61671,15556.399544246107,14974.865185997623,431.88926511078625,172.4510863186945,1,10.441680908203125,0.24659888353198767
8192,1,0,61671,15557.13810948108,14975.549563548284,431.6156344755096,172.52490364972726,2,13.203125,0.2008056640625
8192,1,0,61671,15570.444286053695,14989.250263025478,431.687279664009,172.30835244335745,4,19.713668823242188,0.32165520428679883
8192,1,0,61671,15562.310030395138,14981.711777615215,432.1358864799283,172.58578463645222,8,32.675262451171875,0.5616597821936011
8192,1,0,61671,15556.399544246107,14982.396781125692,431.12669477866734,172.25735568557565,1,10.256179809570312,0.19055171473883092
8192,1,0,61671,15555.661049133634,14983.081847279378,431.5269638506618,172.06658968619166,2,13.1927490234375,0.20207510888576508
8192,1,0,61671,15562.310030395138,14991.993411721645,431.6537285592529,172.3259320341223,4,19.57177734375,0.30240416526794434
8192,1,0,61671,15563.04915696984,14984.452167550759,431.5212810788032,172.2284739373559,8,32.56303405761719,0.5176331528928131
8192,1,0,61671,15565.26695800874,14980.341958489531,431.67818054391876,172.58651183319446,1,10.164627075195312,0.13752500130794942
8192,1,0,61671,15557.13810948108,14977.603071578755,431.53378337446566,172.10752938927249,2,13.167449951171875,0.20041510369628668
8192,1,0,61671,15564.527620766636,14984.452167550759,431.43435332904113,172.51672887896768,4,19.748855590820312,0.3208223597612232
8192,1,0,61671,15557.13810948108,14976.234003656307,431.3020404187715,172.26134013518896,8,32.56573486328125,0.5235719941556454
8192,1,0,61671,15559.354226020892,14976.234003656307,431.1919362054899,172.37823893071624,1,10.304275512695312,0.21169192506931722
8192,1,0,61671,15557.13810948108,14983.766976084868,431.39232240678155,172.06686074598716,2,13.31597900390625,0.22574931010603905
8192,1,0,61671,15562.310030395138,14994.737564636434,431.26400838100955,172.08186071914338,4,19.487442016601562,0.28319800994358957
