confDC0 [-],confDC1 [-],confVDL0 [-],confVDL1 [-],perDC0 [ps],perDC1 [ps],perVDL0 [ps],perVDL1 [ps]
04600,09747,52737,33101,3764.4,3828.0,219.87,210.74
37077,28994,15620,49181,3778.6,3843.0,219.67,210.79
04475,43424,20540,01394,3782.1,3840.4,220.17,210.98
04551,46098,06201,33815,3774.9,3841.9,219.74,210.50
29745,61603,00826,08873,3766.5,3837.8,220.20,211.17
05010,59072,44289,33144,3766.8,3828.4,219.97,210.85
03148,04786,00826,16670,3777.1,3843.7,220.08,211.01
55536,26633,47362,33849,3770.1,3834.7,219.92,211.09
02155,43920,58888,41192,3763.3,3833.1,219.48,210.59
01644,02771,06294,04442,3768.2,3832.1,219.90,210.86
08988,02648,24668,41068,3790.4,3839.4,219.77,211.03
27656,01419,24591,10390,3777.0,3829.3,220.14,211.00
08522,12850,15620,03129,3751.3,3821.5,219.61,210.63
04584,32873,02702,01737,3791.6,3853.8,219.96,210.75
03733,32273,08628,01482,3774.9,3836.2,219.99,210.59
03176,35760,08538,41110,3777.6,3842.2,220.06,211.26
09809,03895,31234,12366,3774.9,3832.9,220.04,211.04
27656,02111,34400,02331,3777.3,3829.8,219.58,211.10
39174,23816,01433,04409,3772.4,3829.8,219.40,210.67
04551,01941,01433,00828,3774.3,3830.0,219.31,210.83
08536,51716,08526,33882,3742.4,3811.0,220.20,211.11
08611,02364,44289,00922,3807.9,3858.2,219.76,210.67
01391,01255,16949,01746,3788.3,3842.9,219.72,210.49
02470,32871,12465,12402,3765.9,3823.7,219.91,210.98
03780,47889,54592,05240,3766.4,3829.6,219.20,210.41
01658,00925,24741,16850,3779.8,3842.1,219.73,210.43
12754,01257,16949,01611,3780.9,3838.5,219.67,210.68
01911,40576,33369,02387,3762.2,3821.1,219.51,210.92
03403,02437,33415,04508,3784.0,3839.3,219.46,210.52
