Fnoise [fs],Resolution [ps],PDC0 [ps],PDC1 [ps],PVDL0 [ps],PVDL1 [ps],H [bit/bit]
30,29.34412938254948,5602.920040432046,5397.079959567954,235.32793530872527,264.6720646912747,0.9999371381176223
30,30.643304982354355,5603.3260328069855,5396.6739671930145,234.6783475088228,265.3216524911772,0.99741576111292
30,31.314305986806403,5603.535720620877,5396.464279379123,234.3428470065968,265.6571529934032,0.9942229978605375
30,30.97698869587671,5603.430308967461,5396.569691032539,234.51150565206166,265.48849434793834,0.9960123628437827
30,30.809695098177997,5603.37802971818,5396.62197028182,234.595152450911,265.404847549089,0.9967597154904807
30,64,6113.75,5886.25,218.0,282.0,0.8975897494408619
30,32.0,6103.75,5896.25,234.0,266.0,0.9920197768238983
30,16.0,6098.75,5901.25,242.0,258.0,0.9999998034720525
30,22.627416997969522,6100.821067811866,5899.178932188134,238.68629150101523,261.31370849898474,0.9994692135620428
30,26.908685288118868,6102.158964152537,5897.841035847463,236.54565735594056,263.4543426440594,0.9988521684978262
30,29.34412938254948,6102.920040432046,5897.079959567954,235.32793530872527,264.6720646912747,0.9999453645867322
30,30.643304982354355,6103.3260328069855,5896.6739671930145,234.6783475088228,265.3216524911772,0.9980699575768752
30,31.314305986806403,6103.535720620877,5896.464279379123,234.3428470065968,265.6571529934032,0.995687498453079
30,30.97698869587671,6103.430308967461,5896.569691032539,234.51150565206166,265.48849434793834,0.9970270998996742
30,31.14519068126773,6103.482872087896,5896.517127912104,234.42740465936615,265.5725953406339,0.9963967220155627
30,64,6613.75,6386.25,218.0,282.0,0.9046875344869294
30,32.0,6603.75,6396.25,234.0,266.0,0.9940474894257112
30,16.0,6598.75,6401.25,242.0,258.0,0.9999989884574956
30,22.627416997969522,6600.821067811866,6399.178932188134,238.68629150101523,261.31370849898474,0.9996646557659487
30,26.908685288118868,6602.158964152537,6397.841035847463,236.54565735594056,263.4543426440594,0.999256419694589
30,29.34412938254948,6602.920040432046,6397.079959567954,235.32793530872527,264.6720646912747,0.9999551179867107
30,30.643304982354355,6603.3260328069855,6396.6739671930145,234.6783475088228,265.3216524911772,0.9985770838409618
30,31.314305986806403,6603.535720620877,6396.464279379123,234.3428470065968,265.6571529934032,0.9968122138580366
30,30.97698869587671,6603.430308967461,6396.569691032539,234.51150565206166,265.48849434793834,0.9978092509230776
